"","","","i",""
"res",5.67738082728957,1.24415279751675,1,-0.755805371886536
"res",21.9777019595137,1.14044012282463,2,-0.669402140226633
"res",46.2373220095278,1.20327136089986,3,-0.54618056570401
"res",63.9279885717109,1.50266478765714,4,-0.486196647860547
"res",73.8734833897671,2.06215376010592,5,-0.452849960650347
"res",78.9694409757137,2.96331135560157,6,-0.452837186093001
"res",81.6279233161509,4.30108078672697,7,-0.479440026154015
"res",83.3121449177749,6.15483421778208,8,-0.556793387504235
"res",84.9104256348573,8.36512781243752,9,-0.168364155801504
"res",85.1264136164662,13.4915300406429,10,-0.99999
"res",160.466924356714,12.3576350174991,11,0.99999
"res",1e-05,30.0366549275329,12,0.989981081373184
"res",1e-05,56.189968468389,13,0.970744935339255
"res",1e-05,86.8993048006781,14,0.933275799222807
"res",1e-05,115.718195220287,15,0.864102689105563
"res",1e-05,133.512246770604,16,0.768033476612948
"res",2.09264274575506,136.137855849019,17,0.688161311788035
"res",40.798206874712,131.804090542853,18,0.554993555966949
"res",73.1348594366784,128.8803989134,19,0.430487071353197
"res",89.736518802084,130.510588653226,20,0.40226777098242
"res",95.2540421498901,133.912673050836,21,0.396666641275507
"res",97.080108507502,136.796658469932,22,0.393705921110132
"res",97.8953028107092,138.741087645213,23,0.39195760066903
"res",98.3429907625013,139.98411227939,24,0.390896698218705
"res",98.6108687239964,140.764184322748,25,0.390224377893439
"res",98.7737096552329,141.247757818526,26,0.389810981706306
"res",98.8726243506305,141.545400461492,27,0.389558270987593
"res",98.9331980478288,141.728184951638,28,0.389403594480651
"res",98.9703482567728,141.840320301393,29,0.389308920428288
"res",98.9931302025603,141.909077947216,30,0.389250947402113
"res",99.0070973957921,141.951225377214,31,0.389215439452613
"res",99.0156586185277,141.97705661898,32,0.389193688064654
"res",99.0209054791815,141.992886358121,33,0.389180362500568
"res",99.0241207884549,142.002586419014,34,0.389172198427181
"res",99.0260910350255,142.008530137308,35,0.389167196446053
"res",99.0272983002132,142.012172067468,36,0.38916413176224
"res",99.0280380333719,142.01440357659,37,0.38916225402642
"res",99.0284912872676,142.015770870364,38,0.389161103526779
"res",99.0287690054743,142.016608636162,39,0.389160398605805
"res",99.028939168391,142.017121948802,40,0.389159966693506
